FIPS,Mask_Usage_NEVER,Mask_Usage_RARELY,Mask_Usage_SOMETIMES,Mask_Usage_FREQUENTLY,Mask_Usage_ALWAYS,Mask_Usage_Combined,Count_Less_HighSchool,Count_HighSchool,Count_Less_College,Count_Higher_College,Percent_Less_HighSchool,Percent_HighSchool,Percent_Less_College,Percent_Higher_College,Trump_Win,Biden_Win,Unemployment_2019_Value,Poverty_Estimates_Value,Population_Density,COVID_Average_Confirmed,COVID_Average_Death,Crime_per_100K,Series_Complete_Pop_Pct,Change_in_Movement,Intouch_users_Proportion,COVID_Essential_Workers_pct_essential,Total_Federal_Investment,COVID_Hospital_Occupancy_Rate,COVID_Hospital_All_Beds,COVID_Average_Testing,Total_Population,Urban_Population,Rural_Population,Percent_Rural,Updated_Change_in_Movement
51069,0.026,0.048,0.048,0.264,0.614,4.366,"6,456","19,325","17,039","16,864",0.10800000000000001,0.324,0.285,0.28300000000000003,1,0,2.4,5731,79.57468414,4.6,0.06923076923076923,109.445517,18.1,-0.01836153846153846,0.17538,0.4664949051830189,7821104.2,NA,NA,134.16153846153847,"78,305","43,246","35,059",0.44799999999999995,-0.05216384615384616
51071,0.066,0.09,0.14,0.137,0.567,3.983,"1,340","4,686","3,884","2,193",0.111,0.387,0.321,0.18100000000000002,1,0,3.3,1890,18.17326423,0.4846153846153846,0,88.62629247,17.2,-0.009755384615384615,0.20070846153846153,0.5884003741814781,NA,0.26,50,27.076923076923077,"17,286","5,828","11,458",0.6629999999999999,-0.016341098901098902
51073,0.003,0.004,0.035,0.234,0.724,4.6690000000000005,"2,821","8,762","9,168","6,300",0.10400000000000001,0.324,0.33899999999999997,0.233,1,0,2.6,3194,65.87453804,1.4923076923076923,0,95.0209046,48.3,-0.06190076923076923,0.18971923076923078,0.483413921061509,3265165.1,0.675,134,70.53846153846153,"36,858","13,038","23,820",0.6459999999999999,-0.019033846153846158
51075,0.034,0.043,0.065,0.097,0.761,4.474,"1,475","4,083","4,409","7,159",0.086,0.23800000000000002,0.257,0.418,1,0,2.8,1420,30.931579,0.8076923076923077,0,73.98501803,38.8,0.014791538461538464,0.18364384615384616,0.37834417932031816,NA,NA,NA,28.16923076923077,"21,717",653,"21,064",0.97,NA
51077,0.141,0.065,0.07,0.196,0.527,3.7590000000000003,"2,250","4,468","3,634","1,649",0.187,0.37200000000000005,0.303,0.13699999999999998,1,0,2.9,2719,13.81816123,0.6,0.13846153846153847,105.5339358,20.2,-0.019780000000000002,0.19861923076923077,0.6078522656734947,NA,NA,NA,101.31538461538462,"15,533",19,"15,514",0.9990000000000001,NA
51079,0.011,0.038,0.052,0.153,0.747,4.579,"1,888","3,873","3,854","3,935",0.139,0.28600000000000003,0.284,0.29,1,0,2.3,1482,48.06060325,1.4846153846153847,0.05384615384615385,101.0423314,2.8,-0.04136,0.18869846153846154,0.4306925759840558,NA,NA,NA,32.06153846153846,"18,403","8,973","9,430",0.512,NA
51081,0.014,0.002,0.145,0.158,0.681,4.476,"1,954","3,630","2,406",805,0.222,0.413,0.27399999999999997,0.092,0,1,3.4,1929,15.2478069,1.6,0.12307692307692307,143.025408,5.4,0.07272923076923077,0.1499623076923077,0.7001795332136446,NA,NA,NA,17.20769230769231,"12,243","1,590","10,653",0.87,NA
51083,0.092,0.028,0.072,0.165,0.643,4.147,"4,611","8,938","7,475","3,835",0.185,0.36,0.301,0.154,1,0,3.9,5655,16.42137718,2.4076923076923076,0,169.4867377,17.7,-0.053088461538461536,0.1709269230769231,0.5987226152049997,NA,0.54,299,41.23076923076923,"36,241","8,306","27,935",0.7709999999999999,-0.004303846153846151
51085,0.043,0.052,0.087,0.25,0.568,4.205,"5,018","18,615","20,357","29,042",0.069,0.255,0.27899999999999997,0.39799999999999996,1,0,2.4,5393,86.19196373,3.8846153846153846,0.3,111.5168262,29.4,-0.04027307692307692,0.18661384615384616,0.3578606741573034,12450033,0.42416586301369863,529,151.6846153846154,"99,863","60,831","39,032",0.391,-0.13784230769230768
51087,0.04,0.037,0.071,0.191,0.662,4.361,"18,757","48,174","60,812","99,221",0.083,0.212,0.268,0.43700000000000006,0,1,2.8,28486,538.0908406,19.423076923076923,2.253846153846154,177.0183704,21.2,-0.07144153846153846,0.1895623076923077,0.3681978635268561,18108827.6,0.2642645846575342,2621,683.7923076923076,"306,935","293,832","13,103",0.043,-0.07572076923076923
